STUDENT,165,166,201,265,266,267,301,302,304,314,317,350,365,373,385,414,415,435,436,GRADUATE
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
75,2.0,3.0,4.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,8.0,7.0,0.0,7.0,8.0,1
86,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,2.0,1
94,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1
128,0.0,0.0,2.0,1.0,0.0,3.0,5.0,0.0,7.0,8.0,3.0,4.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,1
193,1.0,2.0,6.0,3.0,0.0,4.0,6.0,8.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,7.0,0.0,1
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
264,0.0,1.0,3.0,2.0,3.0,0.0,7.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,1
287,0.0,2.0,3.0,3.0,0.0,-4.0,-5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-7.0,0.0,5.0,6.0,1
327,0.0,0.0,1.0,1.0,0.0,2.0,3.0,-4.0,5.0,0.0,-2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
334,3.0,4.0,5.0,5.0,6.0,0.0,7.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0
341,1.0,2.0,3.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,6.0,1
417,1.0,3.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
522,0.0,1.0,2.0,2.0,0.0,3.0,-5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,-4.0,1
537,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,1
568,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1
570,0.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,7.0,0.0,3.0,0.0,8.0,0.0,0.0,5.0,0.0,5.0,8.0,1
577,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1
585,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,1
593,0.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,-8.0,3.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,1
614,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,6.0,5.0,6.0,1
766,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
783,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,8.0,0
808,0.0,1.0,2.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,6.0,1
820,0.0,0.0,7.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
876,0.0,0.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0
899,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1
