STUDENT,ENT_SEM,GRAD_SEM,101,104,105,140,143,150,160,165,166,201,207,25,265,266,267,301,304,314,317,341,385,397,414,435,436,492,495,500,Y,SEM0.5_cdf,SEM1.0_cdf,SEM1.5_cdf,SEM2.0_cdf,SEM2.5_cdf,SEM3.0_cdf,SEM3.5_cdf,SEM4.0_cdf,SEM4.5_cdf,SEM5.0_cdf,SEM5.5_cdf,SEM6.0_cdf,SEM6.5_cdf,SEM7.0_cdf,SEM7.5_cdf,SEM8.0_cdf,SEM8.5_cdf,SEM9.0_cdf,SEM9.5_cdf,SEM0.5_GEN_cdf,SEM1.0_GEN_cdf,SEM1.5_GEN_cdf,SEM2.0_GEN_cdf,SEM2.5_GEN_cdf,SEM3.0_GEN_cdf,SEM3.5_GEN_cdf,SEM4.0_GEN_cdf,SEM4.5_GEN_cdf,SEM5.0_GEN_cdf,SEM5.5_GEN_cdf,SEM6.0_GEN_cdf,SEM6.5_GEN_cdf,SEM7.0_GEN_cdf,SEM7.5_GEN_cdf,SEM8.0_GEN_cdf,SEM8.5_GEN_cdf,SEM9.0_GEN_cdf,SEM9.5_GEN_cdf,slp,int,slp_math,int_math,slp_gen,int_gen
17,19.6,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,0.4070175438596492,1.0175438596491229,0.0,0.0,0.4070175438596492,1.0175438596491229
18,14.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.15789473684210534,-0.26315789473684215,0.0,0.0,0.15789473684210534,-0.26315789473684215
20,17.6,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.031578947368421074,-0.789473684210526,0.0,0.0,-0.031578947368421074,-0.789473684210526
21,16.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.15789473684210534,-0.26315789473684215,0.0,0.0,0.15789473684210534,-0.26315789473684215
22,16.6,9.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.031578947368421074,0.789473684210526,0.0,0.0,0.031578947368421074,0.789473684210526
23,14.6,11.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.031578947368421074,-0.789473684210526,0.0,0.0,-0.031578947368421074,-0.789473684210526
24,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.031578947368421074,-0.789473684210526,0.0,0.0,-0.031578947368421074,-0.789473684210526
25,18.6,6.0,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.13684210526315793,5.4448686184506295e-17,0.0,0.0,-0.13684210526315793,5.4448686184506295e-17
27,18.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.168421052631579,0.4210526315789473,0.13684210526315796,-0.36842105263157904,0.031578947368421074,0.789473684210526
28,20.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0.27017543859649135,0.8596491228070176,0.0,0.0,0.27017543859649135,0.8596491228070176
