STUDENT,MAJOR,201,301,302,304,314,317,350,365,373,385,414,415,435,436,GRADUATE
595,Public Relations,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
607,Computer Science,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
614,Mathematics,0.0,4.0,6.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,6.0,5.0,6.0,1
626,Liberal Arts and Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
629,Economics,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
646,Psychology,5.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
672,Computer Science,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
677,Computer Science,0.0,8.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
712,Liberal Arts and Sciences,-5.0,0.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
723,Liberal Arts and Sciences,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
727,Statistics,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
733,Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
737,Statistics,5.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
758,Materials Engineering,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,-6.0,0.0,0.0,0
766,Mathematics,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
783,Mathematics,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,8.0,0
797,Physics,5.0,7.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,4.0,7.0,8.0,0.0,0.0,0
808,Mathematics,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,6.0,1
812,Physics,5.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
820,Mathematics,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
834,Finance,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
841,Computer Science,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
861,Chemical Engineering,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
876,Mathematics,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
877,Mathematics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0
878,Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
886,Computer Science,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
899,Mathematics,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1
901,Statistics,5.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
926,Mathematics,-4.0,0.0,0.0,0.0,8.0,-7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0
937,Computer Science,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
943,Statistics,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
960,Mathematics,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,1
966,Mathematics,0.0,5.0,6.0,-5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
967,Mathematics,2.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1
975,Mathematics,0.0,0.0,6.0,7.0,0.0,0.0,0.0,8.0,7.0,6.0,6.0,8.0,0.0,0.0,1
985,Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
1036,Statistics,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1051,Physics,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
