STUDENT,GRADUATE,MAJOR,201,301,302,304,314,317,350,365,373,385,414,415,435,436
589,1,Meteorology,0.0,5.5,9.0,0.0,9.0,1.5,0.0,9.0,3.0,4.0,8.0,0.0,0.0,0.0
593,1,Mathematics,1.5,5.5,0.0,0.0,-9.0,3.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0
595,1,Public Relations,3.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,1,Computer Science,4.0,6.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,1,Mathematics,0.0,4.0,6.5,8.0,0.0,0.0,4.0,4.0,0.0,0.0,5.5,6.5,5.5,6.5
626,0,Liberal Arts and Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
629,1,Economics,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,1,Psychology,5.5,0.0,0.0,0.0,9.0,6.5,0.0,11.5,0.0,10.5,0.0,0.0,0.0,0.0
647,1,Biochemistry,1.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
672,0,Computer Science,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,1,Computer Science,0.0,9.0,0.0,0.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,1,Liberal Arts and Sciences,-5.5,0.0,0.0,0.0,0.0,-9.0,-9.0,0.0,10.5,0.0,0.0,0.0,-10.5,0.0
723,0,Liberal Arts and Sciences,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,1,Statistics,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,1,Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
737,1,Statistics,5.5,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,0,Materials Engineering,-1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,5.5,-6.5,0.0,0.0
766,0,Mathematics,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783,1,Mathematics,5.5,6.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,9.0,0.0,8.0,9.0
797,1,Physics,5.5,8.0,0.0,0.0,0.0,6.5,0.0,9.0,0.0,4.0,7.0,9.0,0.0,0.0
808,1,Mathematics,1.5,5.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,5.5,6.5
812,1,Physics,5.5,8.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
820,1,Mathematics,9.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,11.5,12.5,0.0,0.0
826,1,Mathematics,1.5,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0
834,1,Finance,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841,0,Computer Science,3.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,0,Chemical Engineering,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
876,1,Mathematics,6.5,10.5,0.0,0.0,11.5,11.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,1,Mathematics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
878,1,Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
886,1,Computer Science,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,1,Mathematics,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0
