STUDENT,CRSE,GRADE_CATGORY,CRSE_SEM,GRAD_SEM
135,240,1,4.0,8.0
135,240,1,4.0,8.0
135,317,-1,4.0,8.0
135,317,-1,4.0,8.0
135,373,1,7.0,8.0
135,373,1,7.0,8.0
135,414,-1,7.0,8.0
135,414,-1,7.0,8.0
135,492,1,8.0,8.0
135,492,1,8.0,8.0
137,207,1,3.0,8.0
137,166,1,2.0,8.0
137,165,1,1.0,8.0
139,140,-1,1.0,0.0
139,143,1,2.0,0.0
140,166,1,1.0,7.0
141,104,1,4.0,0.0
146,143,-1,2.0,0.0
147,165,-1,1.0,5.0
149,265,1,1.0,0.0
149,207,1,3.0,0.0
151,267,1,2.0,8.0
153,166,1,1.0,12.0
155,101,1,1.0,0.0
155,165,1,1.0,0.0
155,166,1,2.0,0.0
155,201,-1,4.0,0.0
155,265,-1,4.0,0.0
156,165,1,2.0,8.0
156,166,-1,3.0,8.0
157,265,1,3.0,0.0
159,165,-1,2.0,7.0
160,143,1,1.0,0.0
161,143,1,1.0,8.0
162,165,1,1.0,0.0
163,143,1,1.0,0.0
165,265,1,3.0,9.0
165,165,1,1.0,9.0
165,166,1,2.0,9.0
166,150,1,1.0,8.0
166,150,1,1.0,8.0
167,165,1,7.0,9.0
168,150,1,1.0,4.0
169,150,1,2.0,0.0
170,105,1,6.0,8.0
171,106,1,2.0,6.0
172,166,1,3.0,0.0
172,165,1,2.0,0.0
173,104,-1,3.0,9.0
174,165,1,1.0,0.0
174,166,-1,2.0,0.0
177,150,-1,2.0,9.0
179,104,1,1.0,8.0
182,160,-1,4.0,10.0
184,104,1,1.0,11.0
186,140,1,7.0,8.0
188,165,1,1.0,0.0
189,165,1,1.0,6.0
189,166,1,2.0,6.0
189,207,1,3.0,6.0
189,265,1,3.0,6.0
189,150,1,5.0,6.0
191,143,1,1.0,8.0
192,150,1,1.0,8.0
193,165,1,1.0,8.0
193,201,1,3.0,8.0
193,265,1,3.0,8.0
193,140,1,2.0,8.0
193,166,1,2.0,8.0
193,101,1,5.0,8.0
193,317,1,5.0,8.0
193,414,1,5.0,8.0
193,267,1,4.0,8.0
193,201,1,6.0,8.0
193,301,1,6.0,8.0
193,341,1,6.0,8.0
193,373,1,7.0,8.0
193,435,1,7.0,8.0
193,492,1,7.0,8.0
193,302,1,8.0,8.0
194,267,1,2.0,0.0
195,267,-1,2.0,0.0
195,265,-1,3.0,0.0
195,385,1,3.0,0.0
196,140,1,1.0,8.0
199,201,1,4.0,6.0
199,265,1,4.0,6.0
200,165,-1,1.0,0.0
201,140,1,1.0,12.0
202,101,1,1.0,0.0
202,143,1,1.0,0.0
204,150,1,1.0,8.0
204,150,1,1.0,8.0
204,151,1,3.0,8.0
204,151,1,3.0,8.0
205,166,1,1.0,8.0
205,265,1,2.0,8.0
205,267,1,3.0,8.0
205,385,1,4.0,8.0
205,207,1,5.0,8.0
205,201,1,6.0,8.0
207,166,1,1.0,0.0
208,165,1,1.0,8.0
208,166,1,2.0,8.0
209,105,1,2.0,0.0
209,143,1,1.0,0.0
210,151,1,1.0,7.0
211,160,1,2.0,7.0
212,165,1,2.0,8.0
212,166,-1,5.0,8.0
212,166,-1,4.0,8.0
212,166,1,7.0,8.0
212,166,-1,6.0,8.0
212,265,1,8.0,8.0
212,266,-1,8.0,8.0
213,104,1,4.0,8.0
216,140,1,1.0,8.0
216,143,1,4.0,8.0
216,165,-1,4.0,8.0
218,143,1,1.0,9.0
218,165,1,2.0,9.0
220,104,-1,2.0,0.0
221,165,-1,1.0,12.0
222,105,1,2.0,9.0
223,150,1,5.0,8.0
224,317,1,3.0,10.0
224,317,1,3.0,10.0
224,267,1,2.0,10.0
224,267,1,2.0,10.0
227,143,1,1.0,8.0
227,165,1,2.0,8.0
229,140,1,1.0,9.0
230,143,1,1.0,0.0
230,165,1,2.0,0.0
231,166,1,3.0,10.0
232,101,1,1.0,4.0
232,265,-1,1.0,4.0
232,266,1,3.0,4.0
233,150,-1,1.0,0.0
234,140,1,6.0,7.0
234,104,1,7.0,7.0
236,165,-1,2.0,0.0
236,165,1,2.0,0.0
237,165,1,1.0,7.0
241,150,1,1.0,4.0
243,140,1,1.0,6.0
243,143,1,3.0,6.0
243,160,1,5.0,6.0
244,140,1,1.0,8.0
244,160,1,2.0,8.0
245,143,1,1.0,0.0
245,166,-1,3.0,0.0
245,165,1,2.0,0.0
246,143,1,2.0,0.0
246,143,1,5.0,0.0
247,150,1,1.0,9.0
248,105,1,5.0,9.0
249,140,1,2.0,9.0
249,140,1,2.0,9.0
251,150,1,2.0,8.0
251,140,1,5.0,8.0
254,104,-1,3.0,9.0
254,140,-1,5.0,9.0
257,166,1,2.0,8.0
257,265,1,3.0,8.0
259,150,1,6.0,0.0
263,181,1,8.0,10.0
263,181,1,8.0,10.0
264,101,1,1.0,8.0
264,101,1,1.0,8.0
264,166,1,1.0,8.0
264,166,1,1.0,8.0
264,265,1,2.0,8.0
264,265,1,2.0,8.0
264,201,1,3.0,8.0
264,201,1,3.0,8.0
264,266,1,3.0,8.0
264,266,1,3.0,8.0
264,414,1,5.0,8.0
264,414,1,5.0,8.0
264,317,1,4.0,8.0
264,317,1,4.0,8.0
264,301,1,7.0,8.0
264,301,1,7.0,8.0
264,415,1,6.0,8.0
264,415,1,6.0,8.0
264,314,1,8.0,8.0
264,314,1,8.0,8.0
264,492,1,8.0,8.0
264,492,1,8.0,8.0
265,166,1,1.0,6.0
265,267,1,2.0,6.0
265,201,1,3.0,6.0
265,385,1,3.0,6.0
265,265,1,2.0,6.0
265,301,1,5.0,6.0
265,492,1,5.0,6.0
265,317,1,4.0,6.0
265,414,1,4.0,6.0
265,314,1,6.0,6.0
265,436,1,6.0,6.0
267,143,-1,1.0,0.0
268,105,1,3.0,5.0
269,165,1,1.0,8.0
269,166,1,2.0,8.0
269,265,1,4.0,8.0
270,150,1,2.0,8.0
270,140,-1,4.0,8.0
273,207,1,5.0,6.0
274,165,1,1.0,6.0
274,166,-1,2.0,6.0
275,165,1,1.0,8.0
275,166,1,2.0,8.0
275,265,1,4.0,8.0
276,166,1,2.0,8.0
278,143,1,1.0,0.0
282,105,1,1.0,8.0
283,150,1,3.0,6.0
285,166,1,2.0,8.0
286,140,1,5.0,0.0
287,201,1,3.0,8.0
287,265,1,3.0,8.0
287,166,1,2.0,8.0
287,301,-1,5.0,8.0
287,341,1,5.0,8.0
287,435,1,5.0,8.0
287,267,-1,4.0,8.0
287,317,1,4.0,8.0
287,414,-1,7.0,8.0
287,497,1,7.0,8.0
287,397,1,6.0,8.0
287,436,1,6.0,8.0
288,165,1,1.0,10.0
288,165,1,1.0,10.0
289,160,1,2.0,6.0
290,143,1,1.0,0.0
290,165,1,2.0,0.0
291,165,1,2.0,12.0
292,165,1,2.0,8.0
292,166,1,3.0,8.0
294,165,1,2.0,9.0
297,166,1,2.0,7.0
297,265,1,2.0,7.0
297,267,1,3.0,7.0
